routenaam,soort_route,lengte
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.7
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,2.3
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.6
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.6
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,1.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,1.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,1.4
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.8
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,4.6
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal fietspaden,fietspadstrooiroute,0.6
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.9
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.6
areaal fietspaden,fietspadstrooiroute,1.8
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.6
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.6
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,1.1
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.4
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,2.2
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal hoofdrijbanen,wegenstrooiroute,0.5
areaal fietspaden,fietspadstrooiroute,0.4
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,1.4
areaal fietspaden,fietspadstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,1.5
areaal fietspaden,fietspadstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0
areaal fietspaden,fietspadstrooiroute,0.9
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.6
areaal fietspaden,fietspadstrooiroute,0.2
areaal fietspaden,fietspadstrooiroute,0.8
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.7
areaal hoofdrijbanen,wegenstrooiroute,0.3
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.2
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal hoofdrijbanen,wegenstrooiroute,0.1
areaal fietspaden,fietspadstrooiroute,0.3
areaal hoofdrijbanen,wegenstrooiroute,0.3
