"pais","year","idnum","estratopri","estratosec","upm","prov","municipio","cluster","ur","tamano","idiomaq","fecha","q1","q2","horai","fil1","fil2","fil3","ls3","a4","a4c","soct1","soct2","idio1","idio2","cp2","cp4a","cp4","np1","np2","sgl1","sgl2","cp5","cp6","cp6l","cp7","cp7l","cp8","cp8l","cp9","cp13","cp20","cp21","it1","mil6","mil5","cp21a","cp22","cp23","cp24","cp25","cp26","escp27","escp28","l1","prot3","prot4","prot7","prot6","prot8","jc1","jc10","jc13","jc15a","jc16a","soco1","soco4","soco6","soco8","soco11","soco12","vic1ext","vic1exta","vic2","vic2aa","aoj1","vic1hogar","seg1","seg2","arm2","cpol1","cpol2","cpol3","cpol4","vic40","vic41","vic43","vic44","vic45","vic101","vic102","vic103","vol207","vol206","vol202","vol203","vol204","vol205","aoj8","aoj11","aoj12","pese2","aoj17","aoj18","aoj20","aoj21","aoj22","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b14","b15","b17","b18","b20","b20a","b21","b21a","b31","b32","b43","b37","b47a","n1","n3","n9","n11","n15","epp1","epp3","mil1","mil2","b3milx","mil3","mil4","imp1a","imp1b","paz1","paz4","paz5","imp2","imp2a","m1","m2","sd2new2","sd3new2","sd6new2","imp3a","imp3b","imp3c","imp3d","imp3e","pop101","pop107","pop113","eff1","eff2","ing4","dem23","ros1","ros2","ros3","ros4","ros6","mil7","gen6","cct3","gen1","rac2a","w14a","pn4","pn5","e5","e8","e11","e15","e14","e3","e16","d1","d2","d3","d4","d5","d6","d7","d8","dem2","dem11","aut1","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","exc7","exc7mil","vb1","vb2","vb3","vb15","vb16","vb17","vb10","vb11","vb12","abs5","eref5","eref6","pol1","vb20","pp1","pp2","vb50","vb51","vb52","vb53","rac1ca","ab1","ab2","ab5","snw1a","snw1b","for1","for2","for3","for4","for5","for6","for7","for8","for9a","for9b","for9c","for9d","mil10a","mil10b","mil10c","mil10d","mil10e","mil11a","mil11b","mil11c","mil11d","mil11e","cct1new","ed","edlevel","ed2","edpadre","mov1","q2d","q2m","q2y","q3c","q5a","q5b","mil8","ocup4a","ocup1a","q10new","q10g","q10a","q10c","q14","q10d","q10e","fs2","fs8","q11","gen10","q12c","q12","q12b","q12ed","etid","leng1","q15a","q15b","www1","gi0","gi1","gi4","gi7","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r16","r26","colorr","horaf","t1","intid","sexi","colori","sample","nationality","elssegmento","elssec","clusterdesc","quota1","quota2","quota3","quota4","quota5","quota6","pdaintid","pdacolori","annotations","pese1","exc11a","exc13a","exc14a","exc15a","exc16a","edyear","q3ca","result","ti","ti3","wt","odd","oldupm","weight1500","muni10"
"3","2012","11","5","1","3062","306","3062","94","1","1","1","10sep4393","1","44","12.0","1","1","1","1","999999","1","888888","2","3","3","2","2","2","2","2","3","2","3","1","1","1","2","1","1","4","4","999999","4","1","2","1","1","0","0","0","0","0","0","999999","5","2","999999","999999","2","2","2","2","2","2","2","2","2","2","1","4","1","2","999999","999999","999999","999999","2","2","2","2","1","2","1","1","1","1","0","0","0","1","888888","888888","3","2","2","1","2","888888","2","4","2","1","2","888888","3","888888","1","5","7","5","6","7","7","7","7","7","7","7","6","6","5","7","5","7","7","7","7","7","7","7","7","7","888888","5","4","3","7","7","7","7","7","1","7","1","2","4","3","3","1","2","2","2","2","6","2","3","4","8","7","5","7","5","5","6","1","6","7","7","7","6","7","5","7","5","1","1","2","2","10","10","9","1","1","1","7","5","10","1","1","1","1","7","1","3","2","2","0","0","0","999999","0","999999","0","0","0","1","3","1","1","988888","1","988888","988888","1","988888","3","1","2","1","3","988888","4","2","3","888888","888888","4","1","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","9","9","1","0","3","1","12","1967","5","1","1","3","1","4","7","7","2","4","2","2","1","999999","999999","1","999999","4","2","2","2","1","301","2","3","5","2","1","1","12","1","1","0","1","0","0","0","0","1","1","0","999999","0","1","2.0","13.35","95","14","1","5","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","1","0","1","0","1","1","888888","888888","888888","10sep4393","888888","1","1","2","1.0020040000000001","999999"
"3","2012","12","5","1","3062","306","3062","94","1","1","1","10sep4393","1","52","12.03","1","1","1","2","13","18","4","2","4","2","2","2","1","2","2","4","2","4","1","2","2","1","4","999999","4","4","999999","4","4","2","3","1","0","0","0","0","888888","0","999999","5","2","999999","999999","2","2","2","2","1","1","2","1","3","1","3","3","1","2","999999","999999","999999","999999","999999","1","4","2","2","1","1","2","1","1","1","0","0","2","1","4","3","2","2","3","2","1","2","2","3","3","1","1","1","2","1","2","5","2","2","4","4","4","7","3","6","5","5","5","1","7","4","7","7","4","7","6","6","5","5","4","7","5","999999","999999","6","7","7","6","6","1","7","2","3","3","1","999999","2","4","3","3","3","3","6","7","4","8","5","1","5","1","6","5","5","1","7","5","7","7","6","7","999999","999999","999999","999999","999999","999999","5","5","7","1","1","1","5","5","4","3","5","1","999999","999999","999999","2","2","2","0","0","0","999999","0","0","0","1","0","1","3","1","1","302","1","2","4","2","999999","999999","2","1","1","2","3","2","2","2","999999","999999","999999","999999","999999","999999","999999","2","999999","4","2","4","4","10","3","3","3","888888","888888","888888","888888","3","3","3","2","1","888888","888888","888888","1","1","2","12","12","0","1","999999","18","10","1959","5","1","1","3","1","4","6","6","2","4","2","3","3","1","1","4","999999","1","3","0","999999","1","301","2","3","5","1","1","1","84","0","0","0","1","0","0","0","0","1","1","0","999999","0","1","6.0","13.2","77","26","2","7","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","0","1","1","1","1","888888","888888","888888","10sep4393","888888","1","0","2","1.0020040000000001","999999"
"3","2012","13","2","2","30610","306","30610","114","2","5","1","10sep4393","2","988888","15.57","1","1","1","1","999999","4","4","3","4","1","2","2","2","2","2","4","5","4","2","1","4","999999","4","999999","4","4","4","4","2","5","1","1","0","0","0","0","0","0","999999","5","2","999999","999999","2","2","1","888888","888888","1","1","3","2","2","2","3","3","2","999999","999999","999999","999999","1","3","3","2","1","2","2","2","0","0","0","0","0","1","3","4","2","2","2","2","2","1","1","3","3","3","3","1","3","6","1","3","6","2","3","2","3","3","5","3","2","4","4","4","2","7","2","2","2","3","7","5","3","2","2","2","3","1","2","1","2","5","5","2","5","7","7","2","3","4","2","999999","5","4","3","3","3","6","1","3","8","2","1","1","4","1","6","888888","5","1","7","7","7","7","7","7","1","1","1","2","3","4","2","3","1","1","1","1","1","4","4","3","888888","1","1","10","10","2","2","2","0","0","0","0","0","999999","0","0","0","3","2","1","1","988888","1","988888","988888","2","999999","999999","2","1","1","3","1","4","2","2","3","3","3","2","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","988888","988888","888888","888888","5","888888","888888","888888","5","1","1","3","1","2","988888","988888","2","4","2","3","2","999999","999999","2","2","5","3","3","2","888888","301","2","3","5","1","2","1","888888","1","1","0","1","0","0","0","0","1","0","0","999999","1","0","5.0","16.57","60","25","1","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","1","1","0","1","1","888888","888888","888888","10sep4393","888888","1","1","12","1.0020040000000001","999999"
"3","2012","14","2","2","30610","306","30610","114","2","5","1","10sep4393","2","34","15.59","1","1","1","2","5","5","4","3","4","3","2","2","2","1","2","4","2","2","4","999999","2","1","3","2","4","4","4","4","3","3","2","1","0","0","0","0","0","0","999999","3","2","999999","999999","2","2","2","1","2","2","2","2","2","2","2","3","2","2","999999","999999","999999","999999","2","1","1","2","1","1","1","1","1","1","0","0","0","1","2","2","3","1","3","3","3","2","2","3","3","3","3","2","3","6","2","2","3","1","2","3","5","4","5","5","5","3","7","2","7","5","3","6","5","2","7","7","4","2","2","1","4","1","999999","999999","2","6","6","4","7","7","7","2","1","3","2","999999","2","2","3","3","2","3","6","7","1","2","1","1","6","7","7","2","2","1","7","7","7","7","7","7","999999","999999","999999","999999","999999","999999","1","10","9","1","1","1","10","1","3","9","9","1","999999","999999","999999","2","1","1","0","0","0","0","0","999999","999999","0","0","3","3","1","1","301","1","2","1","2","999999","999999","1","2","2","3","2","4","2","4","999999","999999","999999","999999","999999","999999","999999","1","1","7","2","4","4","4","3","4","2","888888","888888","888888","1","888888","888888","888888","888888","3","988888","988888","988888","988888","1","2","12","12","1","1","999999","23","10","1977","1","2","1","3","5","999999","3","999999","2","4","2","3","3","0","0","2","2","4","2","2","2","1","301","2","3","5","1","888888","1","34","1","1","0","1","0","0","0","0","1","0","0","999999","0","0","5.0","16.47","46","7","2","3","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","1","1","0","0","1","888888","888888","888888","10sep4393","888888","1","0","12","1.0020040000000001","999999"
"3","2012","15","2","2","30610","306","30610","114","2","5","1","10sep4393","2","68","16.2","1","1","1","1","999999","4","988888","2","988888","1","2","2","2","2","2","888888","2","4","1","1","4","999999","4","999999","4","4","4","4","988888","888888","988888","0","999999","999999","999999","999999","0","0","999999","888888","2","999999","999999","2","2","988888","988888","1","888888","888888","4","2","4","888888","4","2","2","999999","999999","999999","999999","2","888888","888888","2","2","1","2","2","0","0","0","0","999999","1","1","888888","3","3","3","3","1","3","888888","888888","1","3","3","888888","1","888888","2","888888","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","888888","7","2","3","988888","888888","999999","988888","988888","2","1","3","2","3","4","5","6","7","7","1","888888","1","888888","1","7","7","7","7","7","7","888888","888888","7","888888","988888","888888","888888","888888","888888","888888","1","1","1","1","888888","888888","1","1","1","1","1","888888","888888","1","888888","0","0","0","999999","999999","999999","999999","999999","0","888888","888888","1","2","999999","2","999999","999999","2","999999","999999","888888","888888","888888","888888","1","888888","2","888888","888888","3","888888","888888","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","0","0","0","0","888888","26","2","1944","1","1","1","3","5","999999","2","999999","2","4","2","3","3","999999","999999","2","1","4","0","999999","999999","7","301","2","4","5","1","1","888888","888888","1","0","0","1","0","0","0","0","1","0","0","999999","0","0","4.0","17.18","58","15","2","3","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","0","0","0","0","0","888888","888888","888888","10sep4393","888888","1","1","12","1.0020040000000001","999999"
"3","2012","16","2","2","30610","306","30610","114","2","5","1","10sep4393","1","38","16.5","1","1","1","2","5","5","2","2","2","2","2","1","2","1","2","2","2","4","1","1","4","999999","4","999999","4","4","999999","4","1","3","1","0","999999","999999","999999","999999","1","0","999999","3","2","999999","999999","2","2","2","2","2","2","2","2","2","1","2","4","1","2","999999","999999","999999","999999","2","2","4","1","1","1","2","1","0","0","1","0","0","1","3","4","3","2","3","3","2","2","1","3","3","2","2","1","2","2","1","4","3","4","4","4","4","5","4","4","5","4","4","5","3","5","4","5","5","5","7","3","4","4","4","5","4","5","999999","999999","5","6","5","4","7","4","6","2","1","1","2","999999","2","3","2","2","2","6","4","2","5","7","3","1","4","3","4","6","3","6","7","6","6","6","7","5","999999","999999","999999","999999","999999","999999","6","7","5","5","5","1","2","5","5","3","4","3","999999","999999","999999","2","2","2","0","0","0","999999","0","0","0","0","0","2","3","1","1","302","1","2","2","1","302","2","1","2","1","3","2","3","2","2","999999","999999","999999","999999","999999","999999","999999","1","1","10","2","2","4","4","1","2","2","1","1","1","1","2","3","3","2","1","1","3","3","2","1","2","11","11","0","1","999999","13","1","1974","5","1","1","3","1","1","9","8","2","4","1","2","2","0","0","2","4","5","3","3","1","2","301","2","3","4","2","1","1","888888","1","1","1","1","1","0","0","0","1","1","0","999999","1","1","4.0","17.4","50","6","1","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","2","0","1","1","1","1","888888","888888","888888","10sep4393","888888","1","0","12","1.0020040000000001","999999"
"3","2012","17","2","2","30610","306","30610","114","2","5","1","10sep4393","1","21","17.41","1","1","1","2","999999","27","4","3","3","3","2","1","2","1","1","4","3","4","1","1","4","999999","4","999999","4","2","999999","1","1","3","2","0","999999","999999","999999","999999","0","0","999999","6","2","999999","999999","2","2","2","1","1","1","2","2","3","3","2","2","3","2","999999","999999","999999","999999","1","4","3","2","1","1","2","2","0","0","0","0","1","2","1","3","2","1","3","2","2","3","2","2","4","1","3","2","3","6","2","2","4","3","4","3","3","3","4","2","4","2","2","2","3","4","2","2","2","3","6","5","3","4","4","3","3","3","3","3","4","5","5","4","4","4","5","2","2","2","2","999999","3","4","2","3","3","6","5","8","3","4","5","4","3","2","5","6","5","6","5","4","5","5","6","7","6","5","5","1","3","3","3","5","4","4","5","5","7","4","5","4","3","1","1","9","1","2","1","2","0","0","0","0","0","999999","999999","999999","0","1","3","1","1","301","1","3","3","2","999999","999999","2","1","4","1","3","3","1","2","1","3","3","2","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","11","11","1","1","5","17","1","1991","5","1","1","3","1","2","5","7","2","4","1","2","2","999999","999999","1","999999","5","0","999999","999999","2","301","1","3","5","1","1","1","84","1","0","0","1","0","0","0","0","0","0","0","999999","0","0","6.0","18.26","45","7","2","3","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","1","1","1","0","0","0","888888","888888","888888","10sep4393","888888","1","1","12","1.0020040000000001","0"
"3","2012","18","2","2","30610","306","30610","114","2","5","1","10sep4393","1","49","15.2","1","1","1","2","4","27","4","3","4","3","2","1","2","2","1","2","2","4","3","1","3","1","4","999999","4","4","999999","4","2","3","2","1","0","0","0","0","0","0","999999","5","2","999999","999999","2","2","2","2","2","2","2","3","3","2","2","2","3","2","999999","999999","999999","999999","2","2","3","1","2","2","2","2","1","1","0","0","0","2","2","2","1","2","3","2","2","2","1","2","4","3","4","2","2","6","1","4","3","2","2","5","2","2","3","2","2","2","2","2","3","4","2","2","2","2","7","5","5","3","3","3","4","3","999999","999999","4","5","5","4","6","3","3","2","1","3","1","999999","3","3","2","2","3","6","2","3","1","7","1","3","3","1","3","5","5","5","4","4","3","4","4","4","999999","999999","999999","999999","999999","999999","5","5","5","4","1","1","5","5","5","1","1","3","999999","999999","999999","2","2","2","0","0","0","0","0","999999","999999","999999","0","2","4","1","2","999999","1","5","5","2","999999","999999","1","1","1","2","3","4","2","2","999999","999999","999999","999999","999999","999999","999999","1","1","4","2","2","4","10","2","3","3","888888","1","888888","888888","2","888888","3","2","3","888888","888888","888888","888888","2","1","3","3","888888","888888","999999","15","8","1962","5","4","1","3","1","2","7","6","2","4","2","3","2","0","0","3","999999","4","0","999999","999999","2","301","2","4","5","1","1","1","43","1","1","0","1","0","0","0","0","0","0","0","999999","0","0","4.0","16.25","65","32","2","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","1","1","0","0","0","888888","888888","888888","10sep4393","888888","1","0","12","1.0020040000000001","1"
"3","2012","19","5","1","30619","306","30619","151","1","1","1","10sep4393","2","34","14.1","1","1","1","2","999999","5","5","3","2","3","2","2","2","2","2","5","4","4","4","999999","2","1","4","999999","4","4","4","4","3","5","1","1","0","0","0","0","0","0","999999","10","2","999999","999999","2","2","1","1","1","2","2","2","2","2","888888","3","2","2","999999","999999","999999","999999","2","3","3","1","2","2","2","2","1","0","1","0","0","1","1","2","2","1","3","2","2","3","1","2","4","2","1","2","3","2","2","2","7","1","1","7","1","3","4","5","1","4","4","1","5","7","1","1","4","1","7","5","1","1","1","1","1","1","4","4","4","7","5","5","7","4","3","2","3","4","1","999999","3","3","3","3","3","6","2","8","7","1","5","3","5","6","6","5","1","2","5","2","1","1","1","2","7","1","3","1","3","3","4","8","8","6","2","8","5","6","7","5","5","8","1","10","10","3","1","2","0","0","0","999999","0","0","0","0","0","2","3","1","1","301","1","1","1","1","301","1","2","1","2","2","3","4","2","3","3","3","3","2","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","9","9","1","1","3","5","9","1977","5","2","1","3","1","2","7","7","2","4","2","3","2","999999","999999","1","999999","3","1","1","1","888888","301","2","3","5","1","888888","2","888888","1","0","0","1","0","0","0","0","1","1","0","999999","0","1","4.0","15.01","51","13","2","5","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","2","0","1","1","1","1","888888","888888","888888","10sep4393","888888","1","1","19","1.0020040000000001","999999"
"3","2012","20","5","1","30619","306","30619","151","1","1","1","10sep4393","2","79","14.08","1","1","1","1","14","18","4","3","2","2","2","2","2","2","2","2","1","2","1","1","4","999999","4","999999","4","4","4","4","1","3","1","1","0","0","0","0","0","0","999999","1","2","999999","999999","2","2","2","2","2","2","2","2","2","2","1","2","2","2","999999","999999","999999","999999","2","3","2","2","1","2","2","2","0","0","0","0","0","2","1","4","2","2","1","3","3","1","1","1","2","2","4","888888","1","888888","888888","1","6","1","7","7","5","1","1","5","3","6","6","3","6","4","3","6","4","6","7","6","5","1","6","1","6","6","999999","999999","6","6","6","1","5","1","7","2","2","2","2","999999","2","3","3","2","2","6","8","2","3","5","3","4","1","1","1","1","7","1","6","7","6","6","6","5","999999","999999","999999","999999","999999","999999","10","9","5","10","1","1","1","1","6","1","3","1","999999","999999","999999","2","1","2","0","0","0","999999","999999","999999","999999","999999","0","888888","888888","1","1","302","2","999999","999999","1","302","3","888888","2","2","888888","2","4","2","3","999999","999999","999999","999999","999999","999999","999999","2","999999","4","2","2","888888","888888","1","2","2","1","888888","2","2","888888","888888","888888","888888","888888","1","2","888888","888888","1","2","10","10","888888","888888","999999","19","3","1933","1","2","2","3","7","999999","8","999999","2","1","2","2","2","0","0","6","999999","2","4","0","999999","2","301","1","3","5","1","888888","888888","888888","1","1","0","0","0","0","0","0","1","1","0","999999","0","1","6.0","15.48","100","21","2","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","2","0","0","0","0","0","888888","888888","888888","10sep4393","888888","1","0","19","1.0020040000000001","999999"
"3","2012","21","5","1","30619","306","30619","151","1","1","1","10sep4393","2","24","14.25","1","1","1","2","999999","14","5","3","2","1","2","2","2","1","2","4","3","4","1","1","4","999999","2","1","4","4","4","4","2","3","1","1","0","1","1","0","1","0","999999","5","2","999999","999999","2","1","2","2","2","888888","2","2","2","988888","3","2","3","2","999999","999999","999999","999999","2","2","3","988888","1","2","2","2","1","1","0","0","0","3","2","3","2","1","3","2","2","2","1","4","4","3","2","988888","3","6","2","1","6","4","4","3","1","1","5","1","1","2","4","2","1","7","1","1","2","1","7","4","4","4","3","1","1","4","4","2","1","4","4","4","4","4","7","2","2","2","2","999999","3","3","2","3","3","2","3","1","5","6","4","4","7","1","4","4","4","4","6","6","4","7","4","7","988888","1","1","2","1","2","5","10","5","1","1","5","10","5","5","1","5","1","1","9","5","988888","1","1","0","0","0","1","0","999999","999999","999999","0","1","2","1","2","999999","1","0","0","2","999999","999999","2","2","1","4","4","4","2","4","1","2","988888","2","2","1","1","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","11","11","3","888888","4","5","6","1987","5","1","1","3","1","2","9","5","2","4","1","2","3","999999","999999","1","999999","4","0","999999","999999","2","301","1","1","4","4","1","1","84","1","1","1","1","0","0","1","0","1","1","1","1","1","1","3.0","15.25","60","9","2","5","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","1","1","0","0","0","888888","888888","888888","10sep4393","888888","1","1","19","1.0020040000000001","999999"
"3","2012","22","5","1","30619","306","30619","151","1","1","1","10sep4393","1","47","14.22","1","1","1","1","57","57","4","2","4","2","2","1","2","1","1","4","2","1","1","2","4","999999","2","1","4","3","999999","4","2","4","1","1","0","1","1","1","1","1","1","1","2","999999","999999","1","2","2","2","2","2","2","3","3","3","3","1","3","1","2","3","4","2","2","3","4","1","2","2","2","2","1","1","1","0","0","3","1","3","3","1","3","2","3","2","1","4","4","2","1","2","3","2","2","4","3","1","2","5","3","7","2","1","2","5","3","1","7","2","1","3","2","3","7","2","3","5","6","2","3","3","999999","999999","2","7","7","888888","7","888888","7","2","1","3","2","999999","2","4","3","2","3","6","1","4","7","3","3","7","4","6","7","5","7","7","3","7","7","7","7","7","999999","999999","999999","999999","999999","999999","10","10","10","1","1","6","10","3","10","10","10","5","999999","999999","999999","2","2","2","1","0","0","0","999999","999999","0","999999","1","1","3","1","1","302","1","2","2","1","302","1","1","1","1","1","2","1","1","4","999999","999999","999999","999999","999999","999999","999999","1","2","4","5","2","1","6","3","2","2","888888","2","1","2","3","2","888888","4","3","2","1","888888","3","1","2","9","9","0","0","999999","31","12","1964","1","1","1","3","1","4","9","15","2","1","2","3","2","0","0","2","3","5","3","1","2","2","301","1","1","5","1","1","1","82","1","1","1","1","1","1","0","0","1","1","1","1","1","1","5.0","15.4","78","7","2","3","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","2","1","0","0","1","0","888888","888888","888888","10sep4393","888888","1","0","19","1.0020040000000001","0"
"3","2012","23","5","1","30619","306","30619","151","1","1","1","10sep4393","1","33","14.3","1","1","1","2","999999","5","3","2","3","2","2","2","2","2","2","4","3","3","1","1","4","999999","4","999999","4","4","999999","4","2","3","2","1","0","0","0","0","0","0","999999","7","2","999999","999999","2","2","2","2","1","2","2","1","1","1","1","3","2","2","999999","999999","999999","999999","1","2","3","1","1","2","2","2","1","0","0","0","0","2","2","3","2","2","1","2","1","1","1","2","2","2","3","888888","2","8","1","3","5","4","4","3","4","4","5","4","6","5","5","5","2","4","2","5","5","4","6","5","5","4","5","4","5","5","5","5","5","5","5","3","3","2","4","2","3","3","2","999999","2","3","3","3","3","6","8","3","5","2","4","3","5","4","5","5","2","3","4","5","5","6","5","6","4","2","1","1","2","2","8","8","8","4","3","3","2","6","6","4","5","5","1","6","4","2","2","2","1","0","1","999999","0","999999","0","0","0","3","3","1","1","302","2","999999","999999","1","302","2","2","1","2","3","1","3","2","3","3","3","3","1","2","1","2","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","999999","2","14","14","2","1","4","5","6","1978","5","1","2","3","1","988888","10","8","2","4","2","2","2","999999","999999","2","3","4","2","2","2","1","301","1","3","2","2","1","1","56","1","1","0","1","1","1","1","0","1","1","0","999999","0","1","3.0","15.15","45","10","2","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","2","0","1","0","1","1","888888","888888","888888","10sep4393","888888","1","1","19","1.0020040000000001","999999"
"3","2012","24","5","1","30619","306","30619","151","1","1","1","10sep4393","1","29","14.55","1","1","1","1","27","27","2","3","1","1","2","2","2","2","2","3","999999","3","4","999999","4","999999","3","1","4","4","999999","4","2","2","2","1","0","1","1","0","0","0","999999","7","2","999999","999999","2","2","2","2","2","2","2","1","2","2","2","2","2","2","999999","999999","999999","999999","2","1","1","2","2","2","2","2","1","1","0","0","0","4","1","4","2","2","2","2","2","3","2","1","4","3","2","3","3","2","2","5","6","5","5","5","5","3","7","4","5","4","4","3","1","1","1","5","4","4","7","5","2","4","5","3","4","4","999999","999999","6","7","7","4","6","4","4","1","2","2","2","999999","2","3","3","4","4","2","1","6","8","7","4","1","2","2","7","7","3","7","7","7","7","7","5","7","999999","999999","999999","999999","999999","999999","4","8","8","2","1","1","1","10","5","5","5","1","999999","999999","999999","2","1","2","0","0","0","999999","0","999999","0","999999","0","1","3","1","2","999999","1","1","1","2","999999","999999","2","1","1","2","1","4","2","2","999999","999999","999999","999999","999999","999999","999999","2","999999","4","2","2","2","10","3","2","2","2","2","2","1","2","3","3","3","1","2","888888","888888","888888","2","2","18","18","1","4","999999","29","1","1983","12","1","1","3","1","2","13","12","2","4","2","2","2","0","0","2","4","2","0","999999","999999","3","301","1","3","1","2","1","1","57","1","1","0","1","1","1","1","0","1","1","1","1","0","0","5.0","15.45","50","19","1","4","1","3","888888","888888","1","888888","888888","888888","888888","888888","888888","888888","888888","1","3","0","1","0","1","0","888888","888888","888888","10sep4393","888888","1","0","19","1.0020040000000001","999999"
